patcnty1,dsch_yr,Sex,Discharges,AnnotationCode,AnnotationDesc
Modoc,2013,Female,384,,
Modoc,2013,Male,260,,
Modoc,2014,Female,326,,
Modoc,2014,Male,260,,
Modoc,2015,Female,368,,
Modoc,2015,Male,293,,
Modoc,2016,Female,388,,
Modoc,2016,Male,243,,
Modoc,2017,Female,295,,
Modoc,2017,Male,300,,
Modoc,2018,Female,307,,
Modoc,2018,Male,308,,
Modoc,2019,Female,345,,
Modoc,2019,Male,311,,
Modoc,2020,Female,288,,
Modoc,2020,Male,296,,
Modoc,2021,Female,256,,
Modoc,2021,Male,254,,
Modoc,2022,Female,291,,
Modoc,2022,Male,269,,
Modoc,2023,Female,306,,
Modoc,2023,Male,252,,
Mono,2012,Female,329,,
Mono,2012,Male,291,,
Mono,2013,Female,375,,
Mono,2013,Male,283,,
Mono,2014,Female,377,,
Mono,2014,Male,273,,
Mono,2015,Female,370,,
Mono,2015,Male,281,,
Mono,2016,Female,376,,
Mono,2016,Male,299,,
Mono,2017,Female,394,,
Mono,2017,Male,323,,
Mono,2018,Female,349,,
Mono,2018,Male,349,,
Mono,2019,Female,373,,
Mono,2019,Male,340,,
Mono,2020,Female,301,,
Mono,2020,Male,307,,
Mono,2021,Female,330,,
Mono,2021,Male,294,,
Mono,2022,Female,336,,
Mono,2022,Male,264,,
Mono,2023,Female,321,,
Mono,2023,Male,276,,
Monterey,2012,Female,23597,,
Monterey,2012,Male,15824,,
Monterey,2012,"Other, Unknown, Invalid",3,,
Monterey,2013,Female,23351,,
Monterey,2013,Male,15863,,
Monterey,2013,"Other, Unknown, Invalid",4,,
Monterey,2014,Female,22466,,
Monterey,2014,Male,15456,,
Monterey,2014,"Other, Unknown, Invalid",6,,
Monterey,2015,Female,22764,,
Monterey,2015,Male,16388,,
Monterey,2015,"Other, Unknown, Invalid",8,,
Monterey,2016,Female,22696,,
Monterey,2016,Male,16352,,
Monterey,2016,"Other, Unknown, Invalid",11,,
Monterey,2017,Female,22714,,
Monterey,2017,Male,16921,,
Monterey,2017,"Unknown, Invalid",4,,
Monterey,2018,Female,23127,,
Monterey,2018,Male,17802,,
